"Name","Platform","Year","North America","Europe","Japan","Other","Global"
"EA Sports UFC","PS4","2014","0.46","0.4","0.01","0.17","1.04"
"Plants vs. Zombies: Garden Warfare","PS3","2014","0.22","0.4","0.01","0.14","0.76"
"2014 FIFA World Cup Brazil","PS3","2014","0.15","0.39","0.01","0.16","0.71"
"Dragon Age: Inquisition","PS3","2014","0.26","0.23","0.05","0.1","0.65"
"Plants vs. Zombies: Garden Warfare","PS4","2014","0.21","0.29","0.01","0.11","0.61"
"NHL 15","PS4","2014","0.3","0.18","0","0.1","0.58"
"NHL 15","PS3","2014","0.21","0.11","0","0.06","0.38"
"NBA Live 15","PS4","2014","0.15","0.04","0","0.04","0.23"
"FIFA 16","PS4","2015","1.11","6.06","0.06","1.26","8.49"
"Star Wars Battlefront (2015)","PS4","2015","2.93","3.29","0.22","1.23","7.67"
"Madden NFL 16","PS4","2015","2.33","0.3","0","0.59","3.22"
"FIFA 16","PS3","2015","0.4","1.98","0.05","0.42","2.85"
"Need for Speed (2015)","PS4","2015","0.49","1.49","0.05","0.36","2.39"
"Battlefield: Hardline","PS4","2015","0.7","0.93","0.14","0.32","2.09"
"Madden NFL 16","PS3","2015","0.56","0.11","0","0.15","0.82"
"NHL 16","PS4","2015","0.35","0.15","0","0.11","0.61"
"Rory McIlroy PGA Tour","PS4","2015","0.18","0.24","0","0.08","0.51"
"Battlefield: Hardline","PS3","2015","0.12","0.23","0.07","0.07","0.49"
"NBA Live 16","PS4","2015","0.1","0.04","0","0.03","0.17"
"NHL Legacy","PS3","2015","0.03","0","0","0.01","0.04"
"NHL 16","PS3","2015","0","0.03","0","0.01","0.04"
"FIFA 17","PS4","2016","0.28","3.75","0.06","0.69","4.77"
"Madden NFL 17","PS4","2016","0.92","0.08","0","0.23","1.23"
"EA Sports UFC 2","PS4","2016","0.28","0.47","0","0.14","0.89"
"Plants vs. Zombies: Garden Warfare 2","PS4","2016","0.17","0.21","0","0.07","0.45"
"FIFA 17","PS3","2016","0.02","0.29","0.01","0.05","0.38"
"Mirror's Edge Catalyst","PS4","2016","0.1","0.14","0.02","0.06","0.32"
"NHL 17","PS4","2016","0.13","0.04","0","0.04","0.2"
"Madden NFL 17","PS3","2016","0.05","0.01","0","0.01","0.08"
